Peledakan;Pengukuran;( mtr );/delay;Trans;Freq;Vert;Freq;Long;Freq;PVS;PSPL
II-16;OO-22;785;"5,40";"0,67";"30,00";"0,60";"15,00";"0,56";"13,00";"0,83";"55,10"
II-16;OO-22;785;"5,40";"0,58";"27,00";"0,32";"18,00";"0,27";"22,00";"0,64";"59,60"
II-16;OO-22;785;"5,40";"0,66";"30,00";"0,50";"22,00";"0,43";"23,00";"0,71";"52,90"
II-16;OO-22;785;"5,40";"0,65";"22,00";"0,56";"19,00";"0,58";"17,00";"0,79";"53,60"
II-16;OO-22;785;"5,40";"0,64";"22,00";"0,51";"17,00";"0,53";"18,00";"0,69";"53,90"
II-16;OO-22;785;"5,40";"0,62";"27,00";"0,54";"18,00";"0,53";"18,00";"0,76";"52,80"
II-16;OO-22;785;"5,40";"0,71";"21,00";"0,47";"15,00";"0,69";"17,00";"0,91";"52,20"
II-16;OO-22;785;"5,40";"0,58";"18,00";"0,42";"13,00";"0,68";"16,00";"0,75";"58,60"
II-16;OO-22;785;"5,40";"0,67";"24,00";"0,44";"19,00";"0,42";"12,00";"0,76";"54,30"
II-16;OO-22;785;"5,40";"0,75";"17,00";"0,67";"19,00";"0,67";"17,00";"0,82";"53,10"
II-16;OO-22;785;"5,40";"0,85";"20,00";"0,73";"18,00";"0,64";"19,00";"1,02";"50,20"
II-16;OO-22;785;"5,40";"0,64";"14,00";"0,53";"18,00";"0,58";"16,00";"0,76";"49,80"
HH-19;OO-22;763;"3,28";"0,62";"20,00";"0,39";"13,00";"0,47";"13,00";"0,64";"59,20"
HH-19;OO-22;763;"3,28";"0,71";"17,00";"0,34";"14,00";"0,48";"12,00";"0,77";"44,80"
HH-19;OO-22;763;"3,28";"0,50";"16,00";"0,36";"14,00";"0,51";"17,00";"0,72";"40,00"
HH-19;OO-22;763;"3,28";"0,65";"15,00";"0,54";"15,00";"0,69";"16,00";"0,76";"54,50"
HH-19;OO-22;763;"3,28";"0,43";"13,00";"0,54";"12,00";"0,41";"17,00";"0,57";"51,50"
HH-19;OO-22;763;"3,28";"0,57";"15,00";"0,47";"12,00";"0,35";"9,70";"0,62";"48,90"
HH-19;OO-22;763;"3,28";"0,56";"20,00";"0,38";"17,00";"0,36";"16,00";"0,69";"53,10"
HH-19;OO-22;763;"3,28";"0,51";"16,00";"0,39";"16,00";"0,42";"11,00";"0,62";"55,10"
HH-19;OO-22;763;"3,28";"0,72";"18,00";"0,63";"16,00";"0,49";"12,00";"0,86";"51,80"
HH-19;OO-22;763;"3,28";"0,63";"27,00";"0,45";"11,00";"0,48";"17,00";"0,75";"58,20"
HH-19;OO-22;763;"3,28";"0,91";"15,00";"0,57";"16,00";"0,54";"15,00";"1,07";"51,90"
HH-19;OO-22;763;"3,28";"0,77";"13,00";"0,53";"13,00";"0,47";"18,00";"0,87";"55,10"
DD-8;FF-12;385;"63,33";"0,58";"13,00";"0,53";"11,00";"0,54";"13,00";"0,73";"51,90"
EE-8;FF-12;300;"174,80";"0,81";"10,00";"1,03";"17,00";"1,33";"18,00";"1,43";"58,00"
EE-8;FF-12;300;"174,80";"0,85";"16,00";"1,29";"15,00";"1,73";"12,00";"1,80";"59,90"
EE-8;FF-12;300;"174,80";"0,95";"11,00";"0,95";"11,00";"0,97";"12,00";"1,19";"59,60"
II-18;OO-22;748;"9,92";"0,78";"20,00";"0,70";"10,00";"0,63";"12,00";"0,88";"45,70"
II-18;OO-22;748;"9,92";"0,50";"21,00";"0,65";"21,00";"0,57";"23,00";"0,87";"45,40"
II-18;OO-22;748;"9,92";"0,57";"21,00";"0,91";"15,00";"0,65";"24,00";"0,98";"44,40"
II-18;OO-22;748;"9,92";"0,58";"23,00";"0,62";"14,00";"0,46";"16,00";"0,64";"44,20"
II-18;OO-22;748;"9,92";"0,69";"21,00";"0,71";"14,00";"0,56";"21,00";"0,84";"37,60"
II-18;OO-22;748;"9,92";"0,83";"20,00";"0,65";"14,00";"0,70";"23,00";"0,83";"44,70"
II-18;OO-22;748;"9,92";"0,81";"21,00";"0,51";"11,00";"0,69";"13,00";"0,90";"47,00"
II-18;OO-22;748;"9,92";"0,75";"22,00";"0,57";"12,00";"0,61";"32,00";"0,79";"38,70"
II-18;OO-22;748;"9,92";"0,76";"23,00";"0,63";"17,00";"0,51";"32,00";"0,85";"40,80"
II-18;OO-22;748;"9,92";"0,62";"27,00";"0,65";"11,00";"0,77";"21,00";"0,82";"47,10"
II-18;OO-22;748;"9,92";"0,79";"19,00";"0,54";"18,00";"0,52";"23,00";"0,87";"49,10"
II-18;OO-22;748;"9,92";"0,62";"24,00";"0,75";"13,00";"0,68";"12,00";"0,80";"44,70"
II-18;OO-22;748;"9,92";"0,60";"12,00";"0,65";"13,00";"0,57";"23,00";"0,79";"43,70"
II-18;OO-22;748;"9,92";"0,73";"21,00";"0,66";"19,00";"0,49";"22,00";"0,82";"59,90"
II-18;OO-22;748;"9,92";"0,62";"20,00";"0,54";"14,00";"0,50";"30,00";"0,69";"48,70"
II-18;OO-22;748;"9,92";"0,69";"11,00";"0,58";"10,00";"0,56";"27,00";"0,76";"50,10"
II-18;OO-22;748;"9,92";"0,50";"27,00";"0,52";"18,00";"0,47";"23,00";"0,60";"49,20"
HH-18;OO-22;880;"9,92";"0,58";"26,00";"0,39";"28,00";"0,50";"30,00";"0,64";"42,00"
HH-18;OO-22;880;"9,92";"0,52";"24,00";"0,31";"21,00";"0,42";"34,00";"0,54";"47,40"
HH-18;OO-22;880;"9,92";"0,54";"26,00";"0,31";"11,00";"0,69";"30,00";"0,70";"49,40"
HH-18;OO-22;880;"9,92";"0,55";"27,00";"0,28";"13,00";"0,48";"23,00";"0,63";"43,00"
HH-17;OO-22;900;"24,65";"0,54";"26,00";"0,34";"13,00";"0,56";"23,00";"0,63";"49,20"
HH-17;OO-22;900;"24,65";"0,60";"26,00";"0,38";"13,00";"0,51";"20,00";"0,72";"48,40"
II-17;OO-22;797;"18,48";"1,26";"23,00";"0,61";"18,00";"1,10";"16,00";"1,26";"51,80"
II-17;OO-22;797;"18,48";"1,02";"21,00";"0,73";"17,00";"0,83";"20,00";"1,33";"50,10"
II-17;OO-22;797;"18,48";"0,91";"19,00";"0,52";"15,00";"0,84";"22,00";"1,14";"42,00"
II-17;OO-22;797;"18,48";"1,06";"18,00";"0,64";"20,00";"0,95";"20,00";"1,40";"46,70"
II-17;OO-22;797;"18,48";"1,28";"19,00";"0,61";"23,00";"1,05";"21,00";"1,54";"48,80"
II-17;OO-22;797;"18,48";"0,80";"19,00";"0,42";"9,00";"0,71";"20,00";"1,02";"49,40"
II-17;OO-22;797;"18,48";"0,76";"17,00";"0,43";"17,00";"0,69";"19,00";"0,98";"45,20"
II-17;OO-22;797;"18,48";"0,62";"26,00";"0,54";"15,00";"0,52";"20,00";"0,75";"39,70"
II-17;OO-22;797;"18,48";"0,55";"22,00";"0,39";"17,00";"0,65";"21,00";"0,65";"59,90"
II-17;OO-22;797;"18,48";"0,80";"30,00";"0,56";"15,00";"0,53";"27,00";"0,85";"47,90"
II-17;OO-22;797;"18,48";"0,99";"22,00";"0,62";"12,00";"0,78";"16,00";"1,01";"57,50"
II-17;OO-22;797;"18,48";"0,84";"27,00";"0,63";"16,00";"0,79";"21,00";"1,03";"59,50"
II-17;OO-22;797;"18,48";"1,19";"13,00";"0,92";"19,00";"0,84";"20,00";"1,48";"39,60"
II-17;OO-22;797;"18,48";"0,65";"18,00";"0,31";"11,00";"0,53";"20,00";"0,74";"45,10"
II-17;OO-22;797;"18,48";"0,71";"19,00";"0,38";"14,00";"0,66";"19,00";"0,87";"43,50"
II-17;OO-22;797;"18,48";"0,54";"16,00";"0,41";"13,00";"0,47";"20,00";"0,61";"47,10"
II-17;OO-22;797;"18,48";"0,63";"18,00";"0,36";"19,00";"0,59";"17,00";"0,82";"39,80"
HH-18;OO-22;840;"7,59";"0,49";"26,00";"0,43";"22,00";"0,51";"30,00";"0,59";"35,70"
HH-16;OO-22;903;"16,91";"0,36";"17,00";"0,35";"15,00";"0,54";"21,00";"0,54";"40,10"
HH-16;OO-22;903;"16,91";"0,74";"18,00";"0,36";"16,00";"0,47";"28,00";"0,79";"45,40"
HH-16;OO-22;903;"16,91";"0,52";"20,00";"0,44";"11,00";"0,48";"26,00";"0,65";"48,50"
HH-16;OO-22;903;"16,91";"0,79";"18,00";"0,73";"16,00";"0,67";"22,00";"0,82";"59,60"
GG-15;OO-22;1078;"16,91";"0,58";"12,00";"0,41";"17,00";"0,36";"19,00";"0,58";"51,20"
JJ-16;OO-22;774;"3,36";"0,33";"15,00";"0,54";"19,00";"0,52";"24,00";"0,61";"56,90"
JJ-16;OO-22;774;"3,36";"0,84";"20,00";"1,10";"21,00";"1,20";"23,00";"1,42";"53,80"
JJ-16;OO-22;774;"3,36";"0,47";"20,00";"0,72";"21,00";"0,62";"19,00";"0,80";"56,30"
JJ-16;OO-22;774;"3,36";"0,46";"10,00";"0,41";"24,00";"0,83";"24,00";"0,91";"52,50"
JJ-16;OO-22;774;"3,36";"0,79";"12,00";"1,08";"20,00";"1,42";"22,00";"1,68";"56,10"
JJ-16;OO-22;774;"3,36";"0,40";"17,00";"0,44";"18,00";"0,75";"26,00";"0,85";"55,20"
JJ-16;OO-22;774;"3,36";"0,54";"12,00";"0,47";"18,00";"0,77";"23,00";"0,89";"58,20"
JJ-16;OO-22;774;"3,36";"0,55";"20,00";"0,79";"21,00";"0,88";"24,00";"0,93";"54,30"
JJ-16;OO-22;774;"3,36";"0,76";"20,00";"0,96";"20,00";"1,04";"24,00";"1,17";"54,90"
JJ-16;OO-22;774;"3,36";"0,88";"20,00";"0,88";"20,00";"1,04";"23,00";"1,41";"56,80"
JJ-16;OO-22;774;"3,36";"0,63";"17,00";"1,03";"19,00";"1,00";"21,00";"1,35";"56,90"
II-14;NN-20;750;"49,41";"0,58";"28,00";"0,47";"43,00";"0,47";"39,00";"0,65";"37,60"
II-14;NN-20;750;"49,41";"0,70";"17,00";"0,36";"13,00";"0,31";"73,00";"0,71";"39,30"
II-17;OO-22;887;"4,40";"0,56";"20,00";"0,37";"17,00";"0,36";"15,00";"0,67";"43,70"
II-17;OO-22;887;"4,40";"0,88";"12,00";"0,73";"12,00";"0,60";"20,00";"1,03";"42,30"
II-17;OO-22;887;"4,40";"0,56";"16,00";"0,60";"14,00";"0,69";"18,00";"0,94";"42,00"
II-17;OO-22;887;"4,40";"0,50";"13,00";"0,39";"14,00";"0,29";"19,00";"0,53";"42,70"
II-19;OO-22;689;"3,40";"0,55";"19,00";"0,69";"27,00";"0,51";"13,00";"0,80";"47,70"
II-19;OO-22;689;"3,40";"0,35";"16,00";"0,50";"7,80";"0,43";"18,00";"0,57";"59,70"
II-19;OO-22;689;"3,40";"0,94";"20,00";"0,53";"12,00";"0,61";"20,00";"0,98";"44,20"
II-19;OO-22;689;"3,40";"0,78";"30,00";"0,65";"21,00";"0,55";"27,00";"0,90";"60,00"
II-19;OO-22;689;"3,40";"0,52";"26,00";"0,48";"24,00";"0,47";"32,00";"0,56";"50,90"
II-19;OO-22;689;"3,40";"0,44";"24,00";"0,52";"14,00";"0,47";"14,00";"0,72";"43,00"
II-19;OO-22;689;"3,40";"0,77";"20,00";"0,40";"7,60";"0,62";"15,00";"0,83";"46,70"
II-19;OO-22;689;"3,40";"1,29";"24,00";"0,49";"18,00";"0,56";"18,00";"1,35";"49,40"
II-19;OO-22;689;"3,40";"1,07";"26,00";"0,53";"11,00";"0,78";"32,00";"1,23";"48,40"
II-19;OO-22;689;"3,40";"0,90";"26,00";"0,62";"15,00";"0,72";"15,00";"0,97";"41,70"
II-19;OO-22;689;"3,40";"0,80";"24,00";"0,55";"20,00";"0,50";"12,00";"0,82";"51,50"
II-19;OO-22;689;"3,40";"0,93";"27,00";"0,44";"15,00";"0,43";"11,00";"0,98";"59,80"
II-19;OO-22;689;"3,40";"1,06";"23,00";"0,43";"8,50";"0,87";"26,00";"1,15";"52,20"
II-19;OO-22;689;"3,40";"1,01";"20,00";"0,60";"12,00";"0,76";"16,00";"1,24";"58,90"
II-19;OO-22;689;"3,40";"0,80";"26,00";"0,45";"18,00";"0,61";"16,00";"1,00";"48,70"
II-19;OO-22;689;"3,40";"0,77";"20,00";"0,46";"14,00";"0,59";"23,00";"0,81";"42,80"
II-19;OO-22;689;"3,40";"0,73";"23,00";"0,40";"13,00";"0,54";"22,00";"0,75";"44,10"
JJ-17;OO-22;760;"2,94";"0,50";"15,00";"0,32";"15,00";"0,39";"13,00";"0,62";"47,00"
JJ-17;OO-22;760;"2,94";"0,84";"23,00";"0,55";"22,00";"0,72";"23,00";"0,95";"44,40"
JJ-17;OO-22;760;"2,94";"0,65";"24,00";"0,48";"22,00";"0,51";"24,00";"0,76";"41,30"
JJ-17;OO-22;760;"2,94";"1,69";"23,00";"0,86";"22,00";"0,97";"22,00";"1,85";"49,10"
JJ-17;OO-22;760;"2,94";"0,74";"21,00";"0,36";"17,00";"0,69";"21,00";"0,88";"32,60"
JJ-17;OO-22;760;"2,94";"1,01";"20,00";"0,80";"21,00";"0,87";"22,00";"1,31";"40,00"
JJ-17;OO-22;760;"2,94";"1,00";"23,00";"0,85";"20,00";"0,80";"20,00";"1,15";"41,80"
JJ-17;OO-22;760;"2,94";"0,47";"18,00";"0,30";"16,00";"0,56";"17,00";"0,59";"45,00"
JJ-17;OO-22;760;"2,94";"0,63";"16,00";"0,57";"16,00";"0,60";"17,00";"0,76";"42,00"
JJ-17;OO-22;760;"2,94";"0,58";"32,00";"0,48";"16,00";"0,47";"19,00";"0,76";"59,90"
JJ-17;OO-22;760;"2,94";"0,91";"30,00";"0,65";"19,00";"0,70";"24,00";"1,01";"49,70"
JJ-17;OO-22;760;"2,94";"0,91";"24,00";"0,61";"26,00";"0,91";"24,00";"0,95";"46,70"
JJ-17;OO-22;760;"2,94";"0,85";"20,00";"0,74";"20,00";"1,05";"21,00";"1,29";"44,70"
JJ-17;OO-22;760;"2,94";"1,44";"22,00";"0,99";"20,00";"1,18";"20,00";"1,81";"45,70"
JJ-17;OO-22;760;"2,94";"0,95";"18,00";"0,70";"20,00";"0,78";"21,00";"1,10";"51,40"
HH-17;OO-22;852;"4,43";"0,47";"28,00";"0,27";"24,00";"0,52";"27,00";"0,59";"47,40"
HH-17;OO-22;852;"4,43";"0,62";"23,00";"0,45";"17,00";"0,58";"24,00";"0,71";"43,50"
HH-17;OO-22;852;"4,43";"0,55";"23,00";"0,33";"16,00";"0,33";"23,00";"0,58";"42,50"
HH-17;OO-22;852;"4,43";"0,67";"20,00";"0,33";"17,00";"0,32";"24,00";"0,68";"37,30"
HH-17;OO-22;852;"4,43";"0,58";"20,00";"0,34";"14,00";"0,32";"28,00";"0,61";"58,60"
;;;( Kg );(mm/s);( Hz);(mm/s);( Hz);(mm/s);( Hz);(mm/s);( dB )
